,Job Title,Company,Location,Salary,Search Term,lower_sal_val,upper_sal_val,mean salary,median_bool,state,60_perc_bool,70_perc_bool,75_perc_bool,90_perc_bool
439,Lead Android Developer,        LT,"Los Angeles, CA",190000,"El Segundo, CA",190000,190000,190000.0,True,'CA',True,True,True,True
440,LC/MS Clinical Laboratory Scientist,    Lighthouse Recruiting,"Pasadena, CA",80000 - 110000,"El Segundo, CA",80000,110000,95000.0,False,'CA',False,False,False,False
441,Data Scientist,    Workpop,"Santa Monica, CA",80000,"El Segundo, CA",80000,80000,80000.0,False,'CA',False,False,False,False
442,Statistical Analyst,    MbSolutions Inc,"Arlington, VA",80000,"Herndon, VA",80000,80000,80000.0,False,'VA',False,False,False,False
443,Data Scientist,        Workbridge Associates,"Washington, DC",100000 - 150000,"Herndon, VA",100000,150000,125000.0,True,'DC',False,False,False,False
444,Criminal Patronage Network (CPN) Research Analyst / Advisor,    Quiet Professionals LLC,"Reston, VA",180000,"Herndon, VA",180000,180000,180000.0,True,'VA',True,True,True,True
445,Data Scientist,"    Gunther Douglas, Inc.","Washington, DC",110000 - 140000,"Herndon, VA",110000,140000,125000.0,True,'DC',False,False,False,False
446,Data &amp; Research Analyst,    The Council,"Washington, DC",80000 - 85000,"Herndon, VA",80000,85000,82500.0,False,'DC',False,False,False,False
447,Senior Research &amp; Policy Analyst,    Population Action International (PAI),"Washington, DC",65000 - 80000,"Herndon, VA",65000,80000,72500.0,False,'DC',False,False,False,False
448,Research Analyst,    American Society for Engineering Education (ASEE),"Washington, DC 20036 (Downtown area)",50000,"Herndon, VA",50000,50000,50000.0,False,'DC',False,False,False,False
449,Senior Product Manager,    Catalist,"Washington, DC",70000 - 100000,"Herndon, VA",70000,100000,85000.0,False,'DC',False,False,False,False
450,NETWORK OPERATIONS RESEARCH ANALYST EAS,        United States Postal Service,"Washington, DC",66829 - 110664,"Herndon, VA",66829,110664,88746.5,False,'DC',False,False,False,False
451,Credit Risk Transfer Research Analyst,    iiTS,"Washington, DC 20005 (Logan Circle area)",140000,"Herndon, VA",140000,140000,140000.0,True,'DC',True,False,False,False
452,Analytic Methodologist,        Central Intelligence Agency,"Washington, DC",53088 - 92814,"Herndon, VA",53088,92814,72951.0,False,'DC',False,False,False,False
453,Research Development Engineer/Scientist,    TULK llc,"Alexandria, VA",160000,"Herndon, VA",160000,160000,160000.0,True,'VA',True,True,True,False
454,Software Engineer,    FlashX,"Silver Spring, MD",80000 - 120000,"Herndon, VA",80000,120000,100000.0,False,'MD',False,False,False,False
455,Machine Learning Data Engineer,        Jobspring Partners,"Washington, DC",100000 - 150000,"Herndon, VA",100000,150000,125000.0,True,'DC',False,False,False,False
456,Post-Doctoral Scientist,        University of Maryland,"College Park, MD",40000 - 45000,"Herndon, VA",40000,45000,42500.0,False,'MD',False,False,False,False
457,Data Scientist (Math background),        Jobspring Partners,"Washington, DC",150000 - 250000,"Herndon, VA",150000,250000,200000.0,True,'DC',True,True,True,True
458,"Senior Software Engineer (Data Engineer, IoT)",        Jobspring Partners,"Washington, DC",110000 - 160000,"Herndon, VA",110000,160000,135000.0,True,'DC',True,False,False,False
459,Front End Developer,    FlashX,"Silver Spring, MD",75000 - 105000,"Herndon, VA",75000,105000,90000.0,False,'MD',False,False,False,False
460,Business Development/ Market Research Analyst,    Eyebrow Express,"Alexandria, VA 22314 (Southwest Quadrant area)",43200,"Herndon, VA",43200,43200,43200.0,False,'VA',False,False,False,False
461,Data Architect,        TEKSystems,"Falls Church, VA",100000 - 140000,"Herndon, VA",100000,140000,120000.0,True,'VA',False,False,False,False
462,Big Data/IoT Software Engineer,        Jobspring Partners,"Washington, DC",100000 - 160000,"Herndon, VA",100000,160000,130000.0,True,'DC',True,False,False,False
463,Research Associate Level I (Process Development Dpt.),"    ProMetic BioTherapeutics, Inc. (PBT)","Rockville, MD",46000,"Herndon, VA",46000,46000,46000.0,False,'MD',False,False,False,False
464,VP of Advanced Analytics,    Harnham,"Washington, DC",250000,"Herndon, VA",250000,250000,250000.0,True,'DC',True,True,True,True
465,Research Assistant,"    Sirnaomics,Inc","Gaithersburg, MD 20879",28000 - 35000,"Herndon, VA",28000,35000,31500.0,False,'MD',False,False,False,False
466,Apps Developer,        Central Intelligence Agency,"Washington, DC",58638 - 123234,"Herndon, VA",58638,123234,90936.0,False,'DC',False,False,False,False
467,Data Scientist,    Keyo,"Palo Alto, CA",120000 - 200000,"Menlo Park, CA",120000,200000,160000.0,True,'CA',True,True,True,False
468,Data Scientist,        Jobspring Partners,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",175000,"Menlo Park, CA",175000,175000,175000.0,True,'CA',True,True,True,False
469,"Senior Scientist III, Pre-Clinical Safety",    EPM Scientific,"Redwood City, CA",140000,"Menlo Park, CA",140000,140000,140000.0,True,'CA',True,False,False,False
470,"Principal Software Engineer, Data Science",    MatchPointe Group,"Santa Clara, CA",100000 - 150000,"Menlo Park, CA",100000,150000,125000.0,True,'CA',False,False,False,False
471,Associate Data Scientist,    Harnham,"San Mateo, CA",130000,"Menlo Park, CA",130000,130000,130000.0,True,'CA',True,False,False,False
472,Big Data Engineer,        Jobspring Partners,"Mountain View, CA 94043",170000,"Menlo Park, CA",170000,170000,170000.0,True,'CA',True,True,True,False
473,Senior Data Scientist,        Workbridge Associates,"Mountain View, CA 94039",200000,"Menlo Park, CA",200000,200000,200000.0,True,'CA',True,True,True,True
474,Planning and Research Analyst (HSI-Grant Funded),        San Mateo County Community College District,"San Mateo, CA",97116,"Menlo Park, CA",97116,97116,97116.0,False,'CA',False,False,False,False
475,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",100000 - 150000,"Menlo Park, CA",100000,150000,125000.0,True,'CA',False,False,False,False
476,Data Engineer,        Jobspring Partners,"San Jose, CA 95113 (Downtown area)",130000 - 165000,"Menlo Park, CA",130000,165000,147500.0,True,'CA',True,True,False,False
477,Machine Learning Engineer/Scientist,        Jobspring Partners,"San Jose, CA 95113 (Downtown area)",150000 - 175000,"Menlo Park, CA",150000,175000,162500.0,True,'CA',True,True,True,False
478,Software Engineer/Machine Learning,        LB &amp; Associates,"San Jose, CA",150000 - 200000,"Menlo Park, CA",150000,200000,175000.0,True,'CA',True,True,True,False
479,Mid-Level QA Engineer,        Workbridge Associates,"San Jose, CA 95113 (Downtown area)",100000,"Menlo Park, CA",100000,100000,100000.0,False,'CA',False,False,False,False
480,Machine Learning Algorithm Engineer,    3coast,"San Mateo, CA",120000 - 180000,"Menlo Park, CA",120000,180000,150000.0,True,'CA',True,True,True,False
481,Site Reliability Engineer,    MountainView Tech Staffing,"San Mateo, CA",120000 - 140000,"Menlo Park, CA",120000,140000,130000.0,True,'CA',True,False,False,False
482,Machine Learning Engineer - Computer Vision,        Jobspring Partners,"San Jose, CA 95113 (Downtown area)",190000,"Menlo Park, CA",190000,190000,190000.0,True,'CA',True,True,True,True
483,"Data Scientist II, Sequencing",    Enterprise Select,"Pleasanton, CA 94588",120000,"Menlo Park, CA",120000,120000,120000.0,True,'CA',False,False,False,False
484,Data Scientist,        Jobspring Partners,"King of Prussia, PA 19406",125000,"Collegeville, PA",125000,125000,125000.0,True,'PA',False,False,False,False
485,Data Scientist,"    Computer Enterprises, Inc. (CEI)","Philadelphia, PA",160000,"Collegeville, PA",160000,160000,160000.0,True,'PA',True,True,True,False
486,Data Scientist,        Workbridge Associates,"Philadelphia, PA",95000 - 120000,"Collegeville, PA",95000,120000,107500.0,False,'PA',False,False,False,False
487,Clinical Study Associate Trial Master File – TMF,    inVentiv Health Clincal,"Collegeville, PA",50000 - 62000,"Collegeville, PA",50000,62000,56000.0,False,'PA',False,False,False,False
488,Director of Data Science,    Averity,"Philadelphia, PA",175000 - 215000,"Collegeville, PA",175000,215000,195000.0,True,'PA',True,True,True,True
489,Principal Data Scientist,    Averity,"Philadelphia, PA",155000 - 160000,"Collegeville, PA",155000,160000,157500.0,True,'PA',True,True,True,False
490,Senior Statistician/Data Scientist-PHARMA,        Smith Hanley Associates,"Horsham, PA",120000,"Collegeville, PA",120000,120000,120000.0,True,'PA',False,False,False,False
491,Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge...,    Averity,"Philadelphia, PA",200000 - 300000,"Collegeville, PA",200000,300000,250000.0,True,'PA',True,True,True,True
492,Senior Software Engineer (Scala),    Juno Search Partners,"Philadelphia, PA 19107 (City Center East area)",120000,"Collegeville, PA",120000,120000,120000.0,True,'PA',False,False,False,False
493,Data Science Manager Healthcare,    Harnham,"Philadelphia, PA",170000,"Collegeville, PA",170000,170000,170000.0,True,'PA',True,True,True,False
494,"Backend Java Developer - Fully AWS, Machine Learning, BioPha...",        Workbridge Associates,"Philadelphia, PA",90000 - 160000,"Collegeville, PA",90000,160000,125000.0,True,'PA',False,False,False,False
495,Data Scientist Healthcare,    Harnham,"Philadelphia, PA",130000,"Collegeville, PA",130000,130000,130000.0,True,'PA',True,False,False,False
496,Angular Software Developer,        Jobspring Partners,"Horsham, PA 19044",100000,"Collegeville, PA",100000,100000,100000.0,False,'PA',False,False,False,False
497,Sr Quantitative Finance Analyst,    Sr Quantitative Finance Analyst,"New York, NY",100000 - 180000,"Roseland, NJ",100000,180000,140000.0,True,'NY',True,False,False,False
498,Senior Statistical Programmer,    Whiz Finder Corporation,"East Hanover, NJ",105000 - 125000,"Roseland, NJ",105000,125000,115000.0,True,'NJ',False,False,False,False
499,Data Scientist,        Oliver James Associates,"New York, NY",160000,"Roseland, NJ",160000,160000,160000.0,True,'NY',True,True,True,False
500,Data Scientist,    indify,"New York, NY",90000 - 170000,"Roseland, NJ",90000,170000,130000.0,True,'NY',True,False,False,False
501,Data Scientist,    Enterprise Select,"New York, NY 10038 (Financial District area)",130000,"Roseland, NJ",130000,130000,130000.0,True,'NY',True,False,False,False
502,Machine Learning Engineer,        Darwin Recruitment,"New York, NY",120000 - 140000,"Roseland, NJ",120000,140000,130000.0,True,'NY',True,False,False,False
503,Data Architect/ Data Engineer,"    Envisagenics, Inc.","New York, NY",65000 - 110000,"Roseland, NJ",65000,110000,87500.0,False,'NY',False,False,False,False
504,Senior Research Analyst,        Research Foundation of The City University of New...,"New York, NY",70000 - 80000,"Roseland, NJ",70000,80000,75000.0,False,'NY',False,False,False,False
505,"Data Team Leader (VP, Director)",        VROOM,"New York, NY",140000 - 180000,"Roseland, NJ",140000,180000,160000.0,True,'NY',True,True,True,False
